id,text,generate_storybook,upload_storybook,is_target,pic
1,在魔法森林里，小兔子托比遇到了聪明的狐狸芬尼克。他们一起去河边钓鱼，结果大败而归,0,0,1,
2,小兔子托比发现了一张藏宝图,0,0,1,
3,它第一次爬上高高的树，虽然害怕，但为了救被困的小鸟，它坚持住了。,0,0,1,
4,当老鼠闯入厨房时，小猫闪电般出击，捍卫了家园的宁静。,0,0,1,
5,小猫跳进冰冷的池塘，只为救起不慎落水的小金鱼，勇气可嘉。,0,0,,
6,面对巨大的吸尘器怪兽，小猫没有退缩，反而好奇地靠近观察。,0,0,,
7,它发现邻居家的孩子迷路了，勇敢地引导他回到了安全的地方。,0,0,,
8,小猫咪咪独自穿过漆黑的森林，只为寻找走失的玩偶，毫不畏惧。,0,0,,
9,当火灾警报响起，小猫迅速叫醒熟睡的主人，挽救了一场危机。,0,0,,
10,它在屋顶边缘摇摇欲坠，却勇敢地伸爪，救下了即将坠落的蝴蝶。,0,0,,
11,小猫咪咪面对陌生的大狗，没有逃跑，而是发出警告，保护了幼崽。,0,0,,
12,第一次去兽医那里，小猫虽然紧张，但全程表现得非常勇敢配合。,0,0,,
13,它发现一个被困在洞里的松鼠，努力挖土，最终帮助松鼠脱困。,0,0,,
14,小猫咪咪在雷雨交加的夜晚，守护着窗边害怕的小主人，给予安慰。,0,0,,
15,面对突然掉落的花盆，小猫敏捷地扑过去，避免了砸伤路人。,0,0,,
16,它勇敢地探索废弃的旧屋，发现了被遗弃的小奶猫，并带回了家。,0,0,,
17,小猫咪咪在雪地里跋涉，只为给饥饿的流浪狗送去食物，充满爱心。,0,0,,
18,当有陌生人试图闯入时，小猫发出响亮的警告，成功吓退了入侵者。,0,0,,
19,它在公园里发现一个被遗弃的钱包，勇敢地叼着它，找到了警察叔叔。,0,0,,
20,小猫咪咪面对高高的围墙，毫不犹豫地跳跃翻越，追赶偷食的麻雀。,0,0,,
21,尽管身体不适，小猫依然坚持巡逻，确保家园周围没有危险。,0,0,,
22,它在暴雨中发现一只受伤的小鸟，小心翼翼地叼回屋里，悉心照料。,0,0,,
23,小猫咪咪第一次坐车旅行，虽然颠簸，但它勇敢地适应了新环境。,0,0,,
24,面对突然出现的蛇，小猫没有退缩，而是巧妙周旋，将其赶走。,0,0,,
25,它在夜晚的森林里迷路了，但凭借勇气和智慧，最终找到了回家的路。,0,0,,
26,小猫咪咪发现小主人被困在衣柜里，勇敢地推开柜门，将其解救。,0,0,,
27,面对一群吵闹的乌鸦，小猫勇敢地冲上前去，保护了花园里的花朵。,0,0,,
28,它在狭窄的管道里穿行，只为救出不慎掉进去的小玩具，毫不犹豫。,0,0,,
29,小猫咪咪在主人熟睡时，警惕地守夜，确保没有任何异常动静。,0,0,,
30,尽管体型娇小，小猫却敢于挑战比自己大的障碍，展现了非凡的勇气。,0,0,,
